IdNumber_Numero-db|MikanNumber_Numero-MIKAN|Title-Titre|Image-Number_Numero-Image|ImageUrl|Access_Condition-acces|Branch_Service|DateIssued_Date|Description|Location_Endroit|Photographer_Photographe|Subject_Sujet
1092|3232126|No.1 Course, Air Bombers, No.5 Operational Training Unit (Royal Canadian Airforce Schools and Training Units), Royal Canadian Air Force Station Boundary Bay, British Columbia, Canada, 9 June 1944.|a169853-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a169853-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-169853       @Restrictions on use: Nil       @Copyright: Expired|Air Force|June 9, 1944.|(Front row, L-R): Pilot Officers Reid, Walker, Barnes and MacEachern. (Rear row, L-R):  Pilot Officers Waite, Baker, Walling and Simmons.|Boundary Bay, British Columbia, Canada:|Unknown.|Military - Training - Schools - 1944/06/09.@Royal Canadian Airforce (R.C.A.F.)
1093|3232603|Private W.H. Morris of The Carleton and York Regiment, who holds a field wireless set, taking part in a training exercise prior to the invasion of Sicily. England, 26 May 1943.|a169994-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a169994-v6|Credit: Capt. Jack H. Smith / Canada.  Dept. of National Defence / Library and Archives Canada / PA-169994       @Restrictions on use: Nil       @Copyright: Expired|Army|May 26, 1943.||England:|Smith, Jack H.|Military - Operations - Land - 1943/05/26.@Military - Units - Carleton and York Regiment - 1943/05/26.@Morris, W.H.@Army.
1094|3232605|Private T.M. Collins of The Carleton and York Regiment searching German prisoners, Enna, Italy, 18 July 1943.|a169996-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a169996-v6|Credit: Capt. Frank Royal / Canada.  Dept. of National Defence / Library and Archives Canada / PA-169996       @Restrictions on use: Nil       @Copyright: Expired|Army|July 18, 1943.||Enna, Italy:|Royal, Frank.|Military - Personnel - Recreation - 1943/07/18.@Military - Operations - Land - 1943/07/18.@Military - Units - Carleton and York Regiment - 1943/07/18.@Army.
1095|3232642|Sergeant P.R. Graham of the Canadian Armoured Corps (C.A.C.) Band playing a vibrophone, Nijmegen, Netherlands, 9 April 1945.|a170305-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170305-v6|Credit: Capt. Jack H. Smith / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170305       @Restrictions on use: Nil       @Copyright: Expired|Army|April 9, 1945.||Nijmegen, Netherlands:|Smith, Jack H.|Military - Personnel - Bands - 1945/04/09.@Instruments - Musical - Vibrophone.@Military - Units - Army - Royal Canadian Armoured Corps - 1945/04/.@Netherlands - Nijmegen.@Army.
1096|3232913|Ship’s Company of the destroyer H.M.C.S. HURON, Halifax, Nova Scotia, Canada, 13 June 1945.|a170720-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170720-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-170720       @Restrictions on use: Nil       @Copyright: Expired|Navy|June 13, 1945.||Halifax, Nova Scotia, Canada:|Unknown.|Transportation - Water - H.M.C.S. HURON.@Royal Canadian Navy (R.C.N.)
1097|3232915|The tug-of-war team of The West Nova Scotia Regiment in action during the final pull against the team of The Saskatoon Light Infantry (M.G.) during the 1st Canadian Infantry Division’s Track and Field Championships, Telese, Italy, 24 June 1944.|a170604-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170604-v6|Credit: Lieut. W. H. Agnew / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170604       @Restrictions on use: Nil       @Copyright: Expired|Army|June 24, 1944.||Telese, Italy:|Agnew, W.H.|Military - Personnel - Recreation - 1944/06/24.@Sports & Amusements - Tug of war.@Army.
1098|3232952|An unidentified officer of the Royal Canadian Naval Volunteer Reserve (R.C.N.V.R.) examining the papers of an unidentified Japanese-Canadian fisherman, Steveston, British Columbia, Canada, 10 December 1941.|a170503-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170503-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-170503       @Restrictions on use: Nil       @Copyright: Expired|Navy|December 10, 1941.||Steveston, British Columbia, Canada:|Unknown.|Industries - Fishing - B.C.@Military - Personnel - Security - 1941/12/10.@Immigration & Colonization - Japanese.@Royal Canadian Navy (R.C.N.)
1099|3232959|An unidentified Lieutenant of the Royal Canadian Navy Volunteer Reserve (R.C.N.V.R.) and a Petty Officer of the Royal Canadian Navy examining engine parts removed from expropriated Japanese-Canadian fishing boats, Naval Control Observation Post, Steveston, British Columbia, Canada, 10 December 1941.|a170510-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170510-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-170510       @Restrictions on use: Nil       @Copyright: Expired|Navy|December 10, 1941||Steveston, British Columbia,|Unknown.|Military - Operations - Sea - 1941/12/10.@Transportation - Water - Equipment.@BC - Steveston.@RCN.@Royal Canadian Navy (R.C.N.)
1100|3232962|A Canadian sailor prepares to hoist the Union Jack on the expropriated Japanese-Canadian fishing boat KUROSHIMA NO.2, New Westminster, British Columbia,  Canada, 29 December 1941.|a170513-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170513-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-170513       @Restrictions on use: Nil       @Copyright: Expired|Navy|December 29, 1941||New Westminster, British Columbia,|Unknown.|Military - Operations - Sea - 1941/12/29.@Industries - Fishing - BC.@BC - New Westminster.@RCN.@Royal Canadian Navy (R.C.N.)
1101|3237086|Colonel C.W. Gilchrist with a group of war correspondents, Berlin, Germany, 4 July 1945.|a170751-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170751-v6|Credit: Capt. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170751       @Restrictions on use: Nil       @Copyright: Expired|Army|July 4, 1945.||Berlin, Germany:|Dean, Michael M.|Military - Personnel - 1945/07/04.@Gilchrist, Col.@Services - Press.@Army.
1102|3237156|German prisoners-of-war preparing to return to Germany, Harlingen, Netherlands, 25 May 1945.|a170911-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170911-v6|Credit: Capt. Jack H. Smith / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170911       @Restrictions on use: Nil       @Copyright: Expired|Army|May 25, 1945.||Harlingen, Netherlands:|Smith, Jack H.|Services - Maintenance - Blacksmiths.@Military - Personnel - Foreign - German - 1945/05/25.@Military - Personnel - Prisoners of war - 1945/05/25.@Army.
1103|3237529|Unidentified sailors examining the ship’s crest of H.M.C.S. OTTAWA, Halifax, Nova Scotia, Canada, October 1943.|a171082-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171082-v6|Credit: PO Edward W. Dinsmore / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171082       @Restrictions on use: Nil       @Copyright: Expired|Navy|October 1943.||Halifax, Nova Scotia, Canada:|Dinsmore, Edward Wellington.|Transportation - Water - H.M.C.S. OTTAWA.@NS - Halifax.@RCN.@Royal Canadian Navy (R.C.N.)
1104|3237748|War correspondent Bill Kinmond of the Toronto Daily Star, who is recuperating in hospital after his release from captivity, reads the front page of the Star’s issue reporting his capture, Watford, England, 20 April 1945.|a170777-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170777-v6|Credit: Lieut. Arthur L. Cole / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170777       @Restrictions on use: Nil       @Copyright: Expired|Army|April 20, 1945||Watford, England,|Cole, Arthur L.|Canadian Press.@England - Watford.@Army.
1105|3237752|War correspondent Douglas Amaron of the Canadian Press interviewing two British members of a Bofors anti-aircraft gun crew, Grave, Netherlands, 11 February 1945.|a170781-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170781-v6|Credit: Lieut. Barney J. Gloster / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170781       @Restrictions on use: Nil       @Copyright: Expired|Army|February 11, 1945||Grave, Netherlands (Vicinity),|Gloster, Barney J.|Canadian Press.@Netherlands - Grave - Environs.@Army.
1106|3237870|A Universal Carrier of the 14th Canadian Hussars being loaded aboard a barge en route from South Beveland to North Beveland, Netherlands, 1 November 1944.|a145990-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a145990-v6|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-145990       @Restrictions on use: Nil       @Copyright: Expired|Army|November 1, 1944.||Beveland, Netherlands (vicinity):|Bell, Ken.|Mil. - Ops. - Land - 1944/11/01.@Transp. - Land - Reconnaissance.@Army.
1107|3237898|Infantrymen of Le Régiment de la Chaudière marching along a dike near Nijmegen, Netherlands, 10 February 1945.|a145767-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a145767-v6|Credit: Capt. Colin C. McDougall /Canada.  Dept. of National Defence / Library and Archives Canada / PA-145767       @Restrictions on use: Nil       @Copyright: Expired|Army|February 10, 1945.||Nijmegen, Netherlands (vicinity),:|McDougall, Colin Campbell.|Mil. - Ops. - Land - 1945/02/10.@Mil. - Units - Regiment de la Chaudière - 1945/02/10.@Army.
1108|3237904|Infantrymen of the Stormont, Dundas and Glengarry Highlanders aboard a Buffalo amphibious vehicle near Mehr, Germany, 11 February 1945.|a145774-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a145774-v6|Credit: Capt. Colin C. McDougall / Canada.  Dept. of National Defence / Library and Archives Canada / PA-145774       @Restrictions on use: Nil       @Copyright: Expired|Army|February 11, 1945.||Mehr, Germany (vicinity):|McDougall, Colin Campbell.|Transp. - Land - Amphibious.@Mil. - Units - Stormont, Dundas & Glengarry - 1945/02/11.@Army.
1109|3237911|Sergeant George A. Game of the Canadian Army Film and Photo Unit operating his camera near San Leonardo di Ortona, Italy, 10 December 1943.|a147111-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a147111-v6|Credit: Lieut. Frederick G. Whitcombe / Canada.  Dept. of National Defence / Library and Archives Canada / PA-147111       @Restrictions on use: Nil       @Copyright: Expired|Army|December 10, 1943.||San Leonardo di Ortona, Italy,:|Whitcombe, Frederick G.|Mil. - Personnel - Casualties - 1943/12/10.@Mil. - Units - Canadian Army Film - 1943/12/10.@Game, George A.@Army.
1110|3237919|Canadian infantrymen attacking personnel of the Home Guard during a training exercise, London, England, 27 July 1941.|a147107-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a147107-v6|Credit: Lieut. Laurie A. Audrain / Canada.  Dept. of National Defence / Library and Archives Canada / PA-147107       @Restrictions on use: Nil       @Copyright: Expired|Army|July 27, 1941.||London, England,:|Audrain, Laurie A.|Mil. - Training - Army - 1941/07/27.@Army.
1111|3237920|Soldiers of the 1st Canadian Corps assisting a farmer during the haying season, England, 16 June 1942.|a147108-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a147108-v6|Credit: Lieut. C.E. Nye / Canada. Dept. of National Defence / Library and Archives Canada / PA-147108       @Restrictions on use: Nil       @Copyright: Expired|Army|June 16, 1942.||England,:|Nye, C.E.|Agriculture - Activities.@Mil. - Personnel - General - 1942/06/16.@Army.
1112|3238325|Soldiers of the Seaforth Highlanders of Canada and the Lorne Scots taking part in the Changing of the 1st Canadian Corps Guard ceremony, Rocca, Italy, 1 March 1944.|a171294-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171294-v6|Credit: Lieut. Alexander M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171294       @Restrictions on use: Nil       @Copyright: Expired|Army|March 1, 1944||Rocca, Italy,|Stirton, Alexander Mackenzie, 1915-|Italy.@Army.
1113|3238329|H.M.S. PUNCHER docking at Halifax, Nova Scotia, Canada, July 1945.|a171087-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171087-v6|Credit: Lt Richard Graham Arless / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171087       @Restrictions on use: Nil       @Copyright: Expired|Navy|July 1945.||Halifax, Nova Scotia, Canada:|Arless, Richard Graham, 1919-|Military - Units - Navy.@Military - Operations - Water.@Transportation - Water - Ship.@NS - Halifax.@RCN.@Royal Canadian Navy (R.C.N.)
1114|3238332|Soldiers of the Regina Rifle Regiment on manoeuvers, England, 18 December 1941.|a171191-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171191-v6|Credit: Capt. Laurie A. Audrain / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171191       @Restrictions on use: Nil       @Copyright: Expired|Army|December 18, 1941||England,|Audrain, Laurie A.|Military - Units - Army - Regina Rifle Regiment.@England.@Army.
1115|3238336|Soldiers of the Regina Rifle Regiment  having lunch during manoeuvers, England, 18 December 1941.|a171195-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171195-v6|Credit: Capt. Laurie A. Audrain / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171195       @Restrictions on use: Nil       @Copyright: Expired|Army|December 18, 1941||England,|Audrain, Cpt. Laurie A.|Military - Units - Army - Regina Rifle Regiment.@England.@Army.
1116|3238338|A Universal Carrier crew of the Regina Rifle Regiment taking part in a training exercise, England, 30 March 1943.|a171197-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171197-v6|Credit: Lieut. Frederick G. Whitcombe / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171197       @Restrictions on use: Nil       @Copyright: Expired|Army|March 30, 1943||England,|Whitcombe, Lt. Frederick G.|Military - Units - Army - Regina Rifle Regiment.@Military - Operations - Training.@England.@Army.
1117|3238343|Lieutenant-Colonel Foster M. Matheson, Commanding Officer, Regina Rifle Regiment, during a training exercise, Southampton, England, 14 April 1944.|a171202-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171202-v6|Credit: Lieut. Kenneth H. Hand / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171202       @Restrictions on use: Nil       @Copyright: Expired|Army|April 14, 1944||Southampton, England,|Hand, Kenneth H.|Military - Units - Army - Regina Rifle Regiment.@Military - Operations - Training.@England - Southampton.@Army.
1118|3238345|Non-commissioned officers who all received Military Medals, at Buckingham Palace, London, England, 17 October 1944.|a171258-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171258-v6|Credit: Lieut. Barney J. Gloster / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171258       @Restrictions on use: Nil       @Copyright: Expired|Army|October 17, 1944|(L-R): Sergeant Harold S. Dracup, Hastings and  Prince Edward Regiment; an unidentified Company Sergeant-Major of the Regina Rifles Regiment;  Sergeant Alfred Frost, Seaforth Highlanders of Canada|London, England,|Gloster, Lt. Barney J.|Military - Units - Army.@England - London.@Army.
1119|3238346|Major Paul Triquet, V.C., Royal 22e Régiment, speaking at the opening of the 6th Victory Loan campaign, Ottawa, Ontario, Canada, 22 April 1944.|a171259-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171259-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-171259       @Restrictions on use: Nil       @Copyright: Expired|Army|April 22, 1944.|Rt. Hon. Mackenzie King, Prime Minister of Canada, is seated behind Major Triquet.|Ottawa, Ontario, Canada:|Unknown.|ON - Ottawa.@Army.
1120|3238411|Sergeant R. Gladnick and Trooper W.J. Whan of the Three Rivers Regiment  camouflaging the Sherman tank “Ajaz”, Italy, 11 September 1944.|a171187-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171187-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-171187       @Restrictions on use: Nil       @Copyright: Expired|Army|September 11, 1944||Italy,|Unknown.|Military - Units - Army - Three Rivers Regiment.@Weapons - Armaments - Tank.@Italy.@Army.
1121|3238413|Quartermaster Sergeant F.C. Nelson, Three Rivers Regiment, and an Italian muleteer leading a mule pack team along a snow-covered mountain road, Italy, 27 February 1945.|a171189-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171189-v6|Credit: Lieut. Alex M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171189       @Restrictions on use: Nil       @Copyright: Expired|Army|February 27, 1945||Italy,|Stirton, Alexander Mackenzie, 1915-|Military - Units - Army - Three Rivers Regiment.@Italy.@Army.
1122|3238579|German submarine U-889 surrendering to the Fairmile motor launch Q117 of the Royal Canadian Navy off Shelburne, Nova Scotia, Canada, 13 May 1945.|a171391-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171391-v6|Credit: Lieut. Richard Graham Arless / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171391       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 13, 1945.||Shelburne, Nova Scotia, Canada:|Arless, Richard Graham, 1919-|Military - Units - Navy.@Military - Operations - Water.@Transportation - Water - Submarine.@NS - Shelburne.@RCN.@Royal Canadian Navy (R.C.N.)
1123|3238583|Canadian non-commissioned officers who all received the Military Medal at an investiture at Buckingham Palace, London, England, 6 June 1945.|a171717-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171717-v6|Credit: Unidentified R.C.A.F. photographer / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171717       @Restrictions on use: Nil       @Copyright: Expired|Army|June 6, 1945|(L-R): Corporal Herbert A. Maxwell, Private Angus A. Uruski, both of the Canadian Infantry Corps; Sergeant  Elmer M. Evoy, Royal Canadian Artillery (R.C.A.).|London, England,|Unknown.|England - London.@Army.
1124|3238602|Canadian soldiers and members of the Canadian Women’s Army Corps (C.W.A.C.) buying flags to wave in V-E Day celebrations, London, England, 8 May 1945.|a171749-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171749-v6|Credit: Sgt. Karen M. Hermeston / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171749       @Restrictions on use: Nil       @Copyright: Expired|Army|May 8, 1945||London, England,|Hermiston, Karen M.|Army.
1125|3238605|Lieutenant David B. Wilson, Royal Canadian Naval Volunteer Reserve (R.C.N.V.R.), Navigator, Motor Torpedo Boat (MTB) 748 of the 65th MTB Flotilla, Royal Navy, England, 25 May 1944.|a171723-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171723-v6|Credit: PO Glen M. Frankfurter / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171723       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 25, 1944||England,|Frankfurter, Glen M.|Military - Units - Royal Canadian Naval Volunteer Reserve (R.C.N.V.R.)@Transportation - Water - Ship.@England.@RCN.@Royal Canadian Navy (R.C.N.)
1126|3238631|Tank crew of the Three Rivers Regiment with their Sherman tank, Termoli, Italy, 15 October 1943.|a170948-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170948-v6|Credit: Lieut. Dwight Dolan / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170948       @Restrictions on use: Nil       @Copyright: Expired|Army|October 15, 1943|(L-R): Sergeant John Gallagher, Troopers Herb Easton, Bill Reid, Henry Brown and Frank Wurmlinger|Termoli, Italy,|Dolan, Dwight E.|Military - Units - Three Rivers Regiment.@Transportation - Land - Tank.@Italy - Termoli.@Army.
1127|3238632|Personnel of the Three Rivers Regiment attend mass being celebrated by an Italian priest who had previously served as a chaplain in the Italian Army, Termoli, Italy, 11 October 1943.|a170949-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170949-v6|Credit: Lieut. Dwight Dolan / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170949       @Restrictions on use: Nil       @Copyright: Expired|Army|October 11, 1943||Termoli, Italy,|Dolan, Dwight E.|Ceremonies - Religious.@Italy - Termoli.@Army.
1128|3238635|Regimental Sergeant-Major Jack H. Davies gives instructions to despatch rider Trooper Dave Dodds, Worthing, England, 6 May 1942.|a170952-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170952-v6|Credit: Lieut. C.E. Nye / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170952       @Restrictions on use: Nil       @Copyright: Expired|Army|May 6, 1942||Worthing, England,|Nye, C.E.|Military - Units - Army.@Transportation - Land - Motorcycle.@Dodds, Dave.@Davies, Jack H.@England - Worthing.@Army.
1129|3238637|Lieutenant-Colonel J.G. Vining, Commanding Officer, Three Rivers Regiment, and the crew of his Churchill tank, Worthing, England, 22 July 1942.|a170954-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a170954-v6|Credit: Lieut. C.E. Nye / Canada.  Dept. of National Defence / Library and Archives Canada / PA-170954       @Restrictions on use: Nil       @Copyright: Expired|Army|July 22, 1942||Worthing, England,|Nye, C.E.|Military - Units - Three Rivers Regiment.@Transportation - Land - Tank.@England - Worthing.@Army.
1130|3238673|Lieutenant-General E.L.M. Burns, General Officer Commanding 1st Canadian Corps, consults his map en route to Rimini, Italy, 23 September 1944.|a171701-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171701-v6|Credit: Lieut. C.E. Nye / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171701       @Restrictions on use: Nil       @Copyright: Expired|Army|September 23, 1944.||Remini, Italy (vicinity),:|Nye, C.E.|Military - Units - Army.@Italy - Rimini - Environs.@Army.
1131|3238680|Tank crew of the Three Rivers Regiment with a knocked-out German PzKpfW IV tank, Termoli, Italy, 9 October 1943.|a171708-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171708-v6|Credit: Lieut. Dwight E. Dolan / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171708       @Restrictions on use: Nil       @Copyright: Expired|Army|October 9, 1943|(L-R): Lieutenant J.L. Jemmett, Troopers J.A. Reardon, R. Tremblay, Lieutenant E. Stelfox|Termoli, Italy,|Dolan, Dwight E.|Military - Units - Army - Three Rivers Regiment.@Weapons - Armaments - Tank.@Italy - Termoli.@Army.
1132|3238874|Soldiers of the Cameron Highlanders of Ottawa cleaning Vickers machine guns during a training exercise, England, 14 April 1944.|a171726-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171726-v6|Credit: Lieut. Donald I. Grant / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171726       @Restrictions on use: Nil       @Copyright: Expired|Army|April 14, 1944||England,|Grant, Donald I.|Military - Units - ArmyMilitary - Units - Army.@Military - Operations - TrainingMilitary - Operations - Training.@England.@Army.
1133|3238875|Soldiers of the Cameron Highlanders of Ottawa laying down fire with a Vickers machine gun during a training exercise, England, 14 April 1944.|a171727-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171727-v6|Credit: Lieut. Donald I. Grant / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171727       @Restrictions on use: Nil       @Copyright: Expired|Army|April 14, 1944|(L-R): Private G. Moyes, Corporal E. Potvin, Private A. Desnoyers|England,|Grant, Donald I.|Military - Units - Army.@Military - Operations - Training.@England.@Army.
1134|3238876|Soldiers of Princess Patricia’s Canadian Light Infantry (P.P.C.L.I.) firing a Vickers machine gun during a training exercise, Eastbourne, England, 3 December 1942.|a171728-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171728-v6|Credit: Sgt(?) John S. Towers / Canada.  Dept. of National Defence / Library and Archives Canada / PA-171728       @Restrictions on use: Nil       @Copyright: Expired|Army|December 3, 1942|(L-R): Privates D.V. Klasson, R.J. Rogal and W.R. Bowlton|Eastbourne, England,|Towers, John S.|Military - Training - Army - Princess Patricia's Canadian Light Infantry (P.P.C.L.I.)@Military - Operations - Training.@England - Eastbourne.@Army.
1135|3238923|Ordinary Seaman J.R. Thompson of the 65th Motor Torpedo Boat Flotilla, Royal Navy, showing a bullet hole in his life jacket received during a surface action with German escort  ships off the coast of France. England, 25 May 1944.|a173314-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a173314-v6|Credit: PO Glen M. Frankfurter / Canada.  Dept. of National Defence / Library and Archives Canada / PA-173314       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 25, 1944||England,|Frankfurter, Glen M.|Royal Canadian Navy (R.C.N.)
1136|3238928|Sailors playing cards aboard the Fairmile motor launch Q078 of the Royal Canadian Navy (R.C.N.), St. John’s, Newfoundland, 10 June 1943.|a173319-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a173319-v6|Credit: Lieut. John Daniel Mahoney / Canada.  Dept. of National Defence / Library and Archives Canada / PA-173319       @Restrictions on use: Nil       @Copyright: Expired|Navy|June 10, 1943||St. John's, Newfoundland, Canada,|Mahoney, John Daniel.|Royal Canadian Navy (R.C.N.)
1137|3238934|Lieutenant Bob Smith, First Lieutenant, Motor Torpedo Boat 748, 65th Flotilla, Royal Navy, England, 26 May 1944.|a173337-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a173337-v6|Credit: PO Glen M. Frankfurter / Canada.  Dept. of National Defence / Library and Archives Canada / PA-173337       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 26, 1944||England,|Frankfurter, Glen M.|Royal Canadian Navy (R.C.N.)
1138|3238936|Seamen J. McKenna and G. Brown inspecting damage to a “D”-type motor torpedo boat of the 65th Flotilla, Royal Navy, England, 25 May 1944.|a173339-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a173339-v6|Credit: PO Glen M. Frankfurter / Canada.  Dept. of National Defence / Library and Archives Canada / PA-173339       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 25, 1944||England,|Frankfurter, Glen M.|Royal Canadian Navy (R.C.N.)
1139|3238983|Company Sergeant-Major Paré and Sergeant R. Richards of the Régiment de la Chaudière examining a German Luger pistol, Bergendal, Netherlands, 24 January 1945.|a171536-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171536-v6|Credit: Lieut. Barney J. Gloster / Canada. Dept. of National Defence/  Library and Archives Canada / PA-171536       @Restrictions on use: Nil       @Copyright: Expired|Army|January 24, 1945||Bergendal, Netherlands,|Gloster, Barney J.|Military - Units - Army - Régiment de la Chaudière.@Netherlands - Bergendal.@Army.
1140|3239407|Ship’s Company, H.M.C.S. ROSTHERN, St. John’s, Newfoundland, 20 May 1943.|a173449-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a173449-v6|Credit: Norman E. Keziere / Canada.  Dept. of National Defence / Library and Archives Canada / PA-173449       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 20, 1943.||St. John's, Newfoundland:|Keziere, Norman E.|Royal Canadian Navy (R.C.N.)
1141|3239426|A company sergeant-major of the Royal 22e Régiment searching German prisoners-of-war, Italy, 1944.|a173361-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a173361-v6|Credit: Lieut. G. Barry Gilroy / Canada.  Dept. of National Defence / Library and Archives Canada / PA-173361       @Restrictions on use: Nil       @Copyright: Expired|Army|1944||Italy,|Gilroy, Lieut. G. Barry.|Army.
1142|3239436|Unidentified Canadian soldier and a member of the French Resistance (F.F.I.) examining the wreckage of a German V-1 flying bomb, Foucarmont, France, 5 September 1944.|a173420-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a173420-v6|Credit: Lieut. H. Gordon Aikman / Canada.  Dept. of National Defence / Library and Archives Canada / PA-173420       @Restrictions on use: Nil       @Copyright: Expired|Army|September 5, 1944||Foucarmont, France,|Aikman, H. Gordon.|Army.
1143|3239986|Infantrymen of the North Shore Regiment boarding an Alligator amphibious vehicle during Operation VERITABLE near Nijmegen, Netherlands, 8 February 1945.|a145769-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a145769-v6|Credit: Capt. Colin C. McDougall / Canada.  Dept. of National Defence / Library and Archives Canada / PA-145769       @Restrictions on use: Nil       @Copyright: Expired|Army|February 8, 1945.||Nijmegen, Netherlands (vicinity),:|McDougall, Colin Campbell.|Transp. - Land - Amphibious.@Mil. - Ops. - Land - 1945/02/08.@Mil. - Units - North Shore Regiment - 1945/02/08.@Army.
1144|3240005|Infantrymen of the 13th Infantry Brigade Group aboard a landing craft taking part in Operation COTTAGE, the invasion of Kiska, Aleutian Islands, August 1943.|a147096-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a147096-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-147096       @Restrictions on use: Nil       @Copyright: Expired|Army|August 1942.||Aleutian Islands, Alaska,:|Unknown.|Army.
